what,kind,bundleId,bundleVersion,description,time
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1305553000610678247.jar",1397937186560
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1870272332872524754.jar",1397937186728
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile2901708509312613600.jar",1397937186878
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4733444652522523406.jar",1397937187304
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8790676015131767545.jar",1397937187439
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6266939470320954571.jar",1397937187649
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4650017894426767583.jar",1397937187762
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7173288752606209750.jar",1397937188114
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3525974092811781517.jar",1397937188309
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3995801722895869586.jar",1397937188515
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8032346092036271873.jar",1397937188990
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4313505159222870046.jar",1397937189028
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile5425346147813097354.jar",1397937189747
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile2971310585555102071.jar",1397937189858
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6078101387349780372.jar",1397937190456
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4081549381954445107.jar",1397937190536
error,log,,,"An error occurred while collecting items to be installed",1397937192790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937193429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937194590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937261869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937264688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937289568
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1397937289629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937289994
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile5426209804925031962.jar",1397937290518
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8995082981024519153.jar",1397937290527
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7432669790251732527.jar",1397937290719
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8132650995158714093.jar",1397937291010
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1670679218461053136.jar",1397937291420
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8768725384359156583.jar",1397937291937
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8609279925845442127.jar",1397937292125
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7946899063102270510.jar",1397937292605
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4821700585708808685.jar",1397937293252
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile5412815043834595294.jar",1397937293635
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile726727004953251369.jar",1397937294218
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile835533275393417509.jar",1397937294239
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7993704446325017711.jar",1397937294327
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3006058119637192551.jar",1397937294944
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7013128331074138050.jar",1397937296511
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1327122400737890825.jar",1397937297006
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile2388658218182500533.jar",1397937297602
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile9138334293867500116.jar",1397937298562
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1245766743874509165.jar",1397937298990
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1643608399453740899.jar",1397937299482
error,log,,,"An error occurred while collecting items to be installed",1397937302341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937313286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937317686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937342101
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1397937342133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937342492
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1397937354487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937359685
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1397937359778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937370352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937375191
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937375746
